Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,0.05,0.00,0.00,0.46,0.05,0.00,11.1,0.46,0.05,0.11,1.00,0.02,0.02,0.04,0.03,0.03,Matches
117,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,0.00,0.00,0.00,0.27,0.05,0.00,20.0,0.27,0.05,0.00,0.00,0.03,0.03,0.12,-0.03,-0.03,Matches
118,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
119,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,0.00,0.00,0.00,0.49,0.10,0.00,20.0,0.49,0.10,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
120,Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,0.19,0.00,0.00,2.01,0.75,0.00,37.5,2.01,0.75,0.09,0.25,0.14,0.14,0.07,0.05,0.05,Matches
121,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,0.00,0.00,0.00,0.77,0.00,0.00,0.0,0.80,0.00,0.00,,0.08,0.08,0.06,-0.08,-0.08,Matches
122,Marko Arnautović\Marko-Arnautovic,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,0.45,0.05,0.05,2.81,1.36,0.14,48.4,2.80,1.36,0.15,0.30,0.43,0.40,0.14,0.02,0.01,Matches
123,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,0.06,0.00,0.00,1.66,0.69,0.25,41.5,1.66,0.69,0.04,0.09,0.06,0.06,0.03,0.01,0.01,Matches
124,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
125,Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,0.00,0.00,0.00,1.04,0.18,0.00,17.4,1.04,0.18,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
126,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,0.00,0.00,0.00,0.34,0.03,0.00,10.0,0.34,0.03,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
127,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,0.00,0.00,0.00,1.67,0.38,0.00,23.1,1.67,0.39,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,0.00,0.00,0.00,0.70,0.19,0.00,26.3,0.70,0.19,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,Matches
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,0.05,0.00,0.00,2.27,0.86,0.05,37.8,2.28,0.86,0.02,0.06,0.21,0.21,0.09,-0.16,-0.16,Matches
131,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,30,1987,25.0,0.80,0.20,0.20,2.56,1.04,0.40,40.6,2.56,1.04,0.23,0.58,0.51,0.36,0.14,0.29,0.24,Matches
132,Simon Asta\Simon-Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,0.00,0.00,0.00,2.00,0.00,0.00,0.0,2.00,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,Matches
133,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,26,1992,16.6,0.06,0.00,0.00,1.69,0.84,0.00,50.0,1.69,0.84,0.04,0.07,0.12,0.12,0.07,-0.06,-0.06,Matches
134,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,22,1996,25.1,0.24,0.00,0.04,1.43,0.64,0.00,44.4,1.43,0.64,0.17,0.38,0.14,0.11,0.08,0.10,0.13,Matches
135,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,30.3,0.73,0.13,0.17,2.94,1.12,0.00,38.2,2.94,1.12,0.20,0.53,0.68,0.55,0.19,0.04,0.04,Matches
136,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
137,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,5.1,0.59,0.00,0.00,2.35,1.37,0.00,58.3,2.34,1.37,0.25,0.43,0.45,0.45,0.19,0.14,0.14,Matches
138,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,0.03,0.00,0.00,0.63,0.18,0.00,28.6,0.62,0.18,0.05,0.17,0.04,0.04,0.07,-0.01,-0.01,Matches
139,Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,eng Premier League,25,1992,6.3,0.00,0.00,0.00,0.63,0.16,0.00,25.0,0.64,0.16,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
140,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,10.9,0.18,0.00,0.09,3.03,0.73,0.00,24.2,3.02,0.73,0.06,0.25,0.33,0.27,0.09,-0.15,-0.08,Matches
141,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,es La Liga,24,1994,22.2,0.45,0.05,0.05,4.01,1.04,0.09,25.8,4.01,1.04,0.10,0.39,0.30,0.27,0.07,0.15,0.14,Matches
