,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1561,Alessandro Matri\Alessandro-Matri,it ITA,FW,Sassuolo,it Serie A,33,1984,6.7,23.7,21.2,2.54,0.00,0.00,3.28,0.45,0.75,0.15,0.00,0.00,0.00,16.4,4.63,2.69,4.48,17.6,0.90,0.00,0.30,18.4,0.15,0.15,0.30,0.75,Matches
1562,Federico Mattiello\Federico-Mattiello,it ITA,MFDF,Bologna,it Serie A,23,1995,14.8,43.0,35.3,7.77,0.00,0.00,5.54,1.15,4.80,0.00,0.00,0.00,0.00,20.6,7.64,14.8,15.5,17.0,1.82,7.77,0.07,31.4,0.20,0.54,0.68,2.23,Matches
1563,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,it Serie A,31,1987,26.9,47.1,46.0,1.08,0.56,0.11,7.36,0.74,1.26,0.00,0.00,0.00,0.00,38.1,4.20,4.83,39.3,5.39,1.15,0.45,0.19,40.8,0.15,0.45,1.00,0.78,Matches
1564,José Mauri\Jose-Mauri,it ITA,MF,Milan,it Serie A,22,1996,2.3,43.9,43.0,0.87,0.87,0.00,8.70,2.17,0.00,0.00,0.00,0.00,0.00,34.8,3.91,5.22,7.39,31.7,3.91,0.00,0.00,38.3,0.00,0.43,0.43,0.00,Matches
1565,Stephy Mavididi\Stephy-Mavididi,eng ENG,FW,Juventus,it Serie A,20,1998,0.2,30.0,30.0,0.00,0.00,0.00,15.0,0.00,5.00,0.00,0.00,0.00,0.00,25.0,0.00,5.00,10.0,20.0,0.00,0.00,0.00,20.0,0.00,5.00,0.00,0.00,Matches
1566,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,eng Premier League,20,1997,1.6,83.1,82.5,0.63,0.63,0.00,9.38,6.25,0.00,0.00,0.00,0.00,0.00,66.3,8.75,8.13,15.6,61.3,3.75,0.00,0.63,78.1,0.00,0.00,0.63,0.63,Matches
1567,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,eng Premier League,24,1994,12.6,38.7,37.4,1.27,1.19,0.00,4.37,1.19,0.24,0.00,0.00,0.00,0.00,26.5,1.83,10.3,6.43,27.3,3.33,0.08,0.16,31.5,0.16,1.11,0.16,0.48,Matches
1568,Philipp Max\Philipp-Max,de GER,DFMF,Augsburg,de Bundesliga,24,1993,28.5,44.8,32.9,11.9,1.61,0.04,8.49,2.88,7.19,2.88,0.11,0.25,0.04,20.5,7.75,16.6,31.3,4.25,1.16,7.40,0.11,30.4,0.32,1.47,0.56,1.54,Matches
1569,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Paris S-G,fr Ligue 1,29,1989,8.9,25.8,24.4,1.46,0.00,0.22,5.96,0.11,0.79,0.11,0.00,0.00,0.00,20.7,3.71,1.46,5.28,18.7,1.01,0.22,0.11,21.0,0.22,0.56,0.45,0.90,Matches
1570,Alexandru Maxim\Alexandru-Maxim,ro ROU,MF,Mainz 05,de Bundesliga,28,1990,6.4,59.1,52.5,6.56,2.19,0.16,9.38,2.97,5.63,3.59,0.47,1.09,0.47,43.4,6.72,8.91,6.09,50.2,1.72,0.63,0.16,46.4,0.63,0.63,1.41,1.25,Matches
1571,Borja Mayoral\Borja-Mayoral,es ESP,FW,Levante,es La Liga,21,1997,18.0,21.9,20.8,1.11,0.00,0.17,5.17,0.61,0.28,0.06,0.00,0.00,0.00,15.5,4.17,2.22,2.89,16.9,0.89,0.28,0.33,18.2,0.11,0.17,0.50,0.67,Matches
1572,Róbert Mazáň\Robert-Mazan,sk SVK,DF,Celta Vigo,es La Liga,24,1994,1.0,55.0,47.0,8.00,2.00,0.00,9.00,2.00,4.00,0.00,0.00,0.00,0.00,40.0,7.00,8.00,42.0,4.00,1.00,6.00,0.00,45.0,0.00,0.00,2.00,2.00,Matches
1573,Luca Mazzitelli\Luca-Mazzitelli,it ITA,MFFW,Genoa,it Serie A,22,1995,3.6,62.2,58.6,3.61,2.78,0.00,10.6,2.22,1.94,0.00,0.00,0.00,0.00,41.9,8.61,11.7,13.1,42.8,3.61,0.28,0.56,48.3,0.00,0.83,0.56,1.11,Matches
1574,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,19,1998,26.0,31.7,30.1,1.54,0.12,0.46,6.77,0.50,0.96,0.23,0.00,0.00,0.00,25.3,3.85,2.50,5.42,25.7,0.19,0.19,0.12,24.5,0.15,0.42,0.92,1.31,Matches
1575,Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,23,1994,22.3,45.2,33.2,12.0,1.08,0.09,6.10,0.27,0.63,0.00,0.00,0.00,0.00,24.0,9.37,11.8,3.00,28.0,2.02,10.9,0.09,34.4,0.27,1.35,0.54,1.17,Matches
1576,Loïc Mbe Soh\Loic-Mbe-Soh,fr FRA,DF,Paris S-G,fr Ligue 1,17,2001,2.0,64.5,63.0,1.50,1.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,57.5,3.50,3.50,7.50,52.5,2.50,0.00,0.00,59.0,0.00,1.00,0.50,1.00,Matches
1577,Nolan Mbemba\Nolan-Mbemba,fr FRA,MFDF,Reims,fr Ligue 1,23,1995,4.0,55.3,51.3,4.00,1.25,0.00,9.75,1.25,1.00,0.00,0.00,0.00,0.00,39.0,11.0,5.25,5.75,42.5,2.75,2.50,0.25,45.0,0.00,1.75,1.50,1.50,Matches
1578,Adama Mbengue\Adama-Mbengue,sn SEN,DF,Caen,fr Ligue 1,24,1993,8.2,44.4,32.6,11.8,0.24,0.00,7.80,1.46,3.41,0.00,0.00,0.00,0.00,17.1,9.88,17.4,26.6,4.51,1.46,11.6,0.12,28.0,0.12,1.10,0.85,2.56,Matches
1579,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,eng Premier League,22,1996,11.0,25.6,24.5,1.18,0.09,0.09,4.18,1.00,3.09,0.45,0.09,0.00,0.00,18.0,3.18,4.45,2.45,21.5,1.00,0.45,0.18,17.1,0.09,0.82,0.91,1.45,Matches
1580,Stéphane Mbia\Stephane-Mbia,cm CMR,DFMF,Toulouse,fr Ligue 1,32,1986,5.0,38.6,37.2,1.40,1.20,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,28.6,3.60,6.40,8.20,25.8,3.20,0.20,0.20,34.2,0.00,0.60,0.20,0.20,Matches
1581,Kara Mbodji\Kara-Mbodji,sn SEN,DF,Nantes,fr Ligue 1,28,1989,5.6,36.1,34.6,1.43,1.25,0.00,5.71,1.43,0.54,0.00,0.00,0.00,0.00,25.9,3.75,6.43,5.36,26.6,3.21,0.18,0.18,28.0,0.00,0.89,0.71,1.61,Matches
1582,Jordi Mboula\Jordi-Mboula,es ESP,FW,Monaco,fr Ligue 1,19,1999,3.1,27.4,27.1,0.32,0.00,0.00,7.74,1.29,9.03,0.00,0.00,0.00,0.00,16.8,5.16,5.48,8.71,17.1,0.97,0.32,0.00,14.5,0.00,1.61,0.00,3.55,Matches
1583,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,30,1987,34.0,42.8,41.1,1.68,0.41,0.18,9.32,0.79,0.47,0.06,0.00,0.00,0.00,30.4,5.29,7.09,9.65,29.7,1.76,0.62,0.18,33.9,0.21,0.82,0.88,1.41,Matches
1584,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25.0,25.5,15.5,9.96,2.88,0.00,2.08,0.84,0.00,0.00,0.00,0.00,0.00,7.08,1.00,17.4,2.00,18.0,0.04,0.00,3.08,12.7,0.00,1.12,0.12,0.12,Matches
1585,James McCarthy\James-McCarthy,ie IRL,MF,Everton,eng Premier League,27,1990,0.2,40.0,35.0,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,5.00,0.00,10.0,30.0,0.00,0.00,0.00,35.0,0.00,0.00,5.00,0.00,Matches
1586,Kevin McDonald\Kevin-McDonald,sco SCO,MF,Fulham,eng Premier League,29,1988,9.3,61.0,58.6,2.37,2.37,0.00,9.89,1.94,0.32,0.00,0.00,0.00,0.00,47.3,4.52,9.14,6.88,50.1,3.01,0.00,0.00,52.0,0.32,1.72,0.97,0.22,Matches
1587,Levan Mchedlidze\Levan-Mchedlidze,ge GEO,FWDF,Empoli,it Serie A,28,1990,2.3,18.7,17.8,0.87,0.43,0.00,4.35,0.43,0.00,0.00,0.00,0.00,0.00,12.2,3.48,3.04,12.6,2.17,3.48,0.00,0.00,13.0,0.00,0.00,0.00,0.00,Matches
1588,Weston McKennie\Weston-McKennie,us USA,MFDF,Schalke 04,de Bundesliga,19,1998,19.4,36.3,32.0,4.28,0.10,0.10,5.52,0.88,0.57,0.00,0.00,0.00,0.00,19.9,7.27,9.07,4.69,21.1,4.23,4.12,0.26,24.8,0.26,1.03,0.88,1.13,Matches
1589,Dwight McNeil\Dwight-McNeil,eng ENG,MFFW,Burnley,eng Premier League,18,1999,17.7,33.0,30.1,2.88,1.30,0.00,8.36,2.32,6.67,1.19,0.62,0.00,0.00,19.8,4.63,8.53,29.3,1.47,1.13,0.40,0.00,21.6,0.40,0.68,0.68,2.03,Matches
1590,Scott McTominay\Scott-McTominay,sco SCO,MFDF,Manchester Utd,eng Premier League,21,1996,9.6,47.4,46.7,0.73,0.42,0.00,8.02,1.15,0.31,0.00,0.00,0.00,0.00,35.2,6.04,6.15,2.19,40.3,2.60,0.21,0.10,40.3,0.31,0.63,1.04,0.21,Matches
1591,Iuri Medeiros\Iuri-Medeiros,pt POR,MFFW,Genoa,it Serie A,24,1994,1.2,39.2,34.2,5.00,1.67,0.00,10.0,4.17,3.33,2.50,0.00,0.00,0.00,29.2,0.83,9.17,32.5,5.83,0.00,0.00,0.00,30.8,0.00,1.67,0.00,0.00,Matches
1592,Nicky Medja\Nicky-Medja,ch SUI,MF,Fiorentina,it Serie A,18,2000,0.5,20.0,20.0,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,16.0,2.00,2.00,4.00,14.0,2.00,0.00,0.00,10.0,0.00,4.00,2.00,2.00,Matches
1593,Álvaro Medrán\Alvaro-Medran,es ESP,MF,Rayo Vallecano,es La Liga,24,1994,12.8,61.0,55.7,5.31,2.27,0.00,9.06,4.06,4.06,2.73,0.78,0.47,0.16,41.6,6.88,12.5,16.0,41.9,2.19,0.23,0.08,49.3,0.39,1.17,0.86,0.94,Matches
1594,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,28,1989,38.0,39.1,38.2,0.89,0.68,0.00,6.71,1.26,0.11,0.00,0.00,0.00,0.00,21.2,4.71,13.2,27.8,5.11,3.89,0.21,0.11,29.4,0.18,0.82,0.26,0.50,Matches
1595,Riccardo Meggiorini\Riccardo-Meggiorini,it ITA,FW,Chievo,it Serie A,32,1985,17.2,24.8,24.4,0.47,0.06,0.00,7.03,0.70,1.34,0.00,0.00,0.00,0.00,10.8,6.28,7.73,14.2,2.33,3.66,0.17,0.93,15.6,0.12,0.93,0.58,1.22,Matches
1596,Admir Mehmedi\Admir-Mehmedi,ch SUI,FWMF,Wolfsburg,de Bundesliga,27,1991,18.8,41.9,36.3,5.53,1.28,0.27,8.03,2.29,4.04,2.45,0.48,0.74,0.11,27.1,7.07,7.66,4.57,33.2,1.81,1.22,0.27,29.9,0.27,1.38,0.74,1.65,Matches
1597,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,it Serie A,24,1994,29.5,39.6,38.8,0.78,0.47,0.07,7.42,1.46,0.51,0.10,0.00,0.00,0.00,26.7,6.10,6.78,7.86,26.4,3.05,0.07,0.41,33.2,0.03,0.64,0.58,1.08,Matches
1598,Farid El Melali\Farid-El-Melali,dz ALG,FWMF,Angers,fr Ligue 1,21,1997,3.6,38.3,37.5,0.83,0.00,0.00,10.8,0.56,1.94,0.00,0.00,0.00,0.00,29.4,5.00,3.89,3.33,31.9,1.94,0.83,0.28,28.9,0.00,0.28,0.83,2.50,Matches
1599,Óscar Melendo\Oscar-Melendo,es ESP,MFFW,Espanyol,es La Liga,20,1997,22.2,40.3,39.4,0.95,0.36,0.36,8.78,0.45,0.59,0.50,0.09,0.00,0.00,29.1,6.49,4.77,33.8,4.37,1.44,0.05,0.27,34.2,0.18,0.45,0.54,0.90,Matches
1600,Gonzalo Melero\Gonzalo-Melero,es ESP,MF,Huesca,es La Liga,24,1994,14.9,47.9,47.3,0.60,0.27,0.13,7.11,0.60,0.20,0.00,0.00,0.00,0.00,39.2,4.90,3.83,4.70,39.7,2.21,0.07,0.20,41.8,0.13,0.81,1.21,0.67,Matches
1601,Arthur Melo\Arthur-Melo,br BRA,MF,Barcelona,es La Liga,21,1996,15.9,81.9,79.9,2.01,1.51,0.25,14.1,1.32,0.25,0.25,0.00,0.06,0.00,71.1,6.42,4.34,3.08,77.2,0.88,0.25,0.44,76.2,0.38,0.44,1.07,0.63,Matches
1602,Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,27,1990,29.6,44.7,42.6,2.03,1.32,0.03,6.05,2.80,0.37,0.00,0.00,0.00,0.00,29.6,4.19,10.8,5.10,36.0,2.06,0.71,0.30,36.8,0.17,1.28,0.41,0.51,Matches
1603,Thiago Mendes\Thiago-Mendes,br BRA,MF,Lille,fr Ligue 1,26,1992,34.2,63.4,57.1,6.29,3.25,0.20,10.9,2.84,4.01,2.75,0.12,0.18,0.03,45.3,5.73,12.3,7.19,53.6,1.64,0.29,0.29,51.9,0.12,1.29,0.91,0.85,Matches
1604,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,es La Liga,21,1997,26.1,46.9,41.2,5.67,2.38,0.08,6.70,1.69,4.14,2.41,0.15,0.11,0.08,30.5,7.20,9.20,37.6,5.29,2.53,0.54,0.27,35.2,0.46,0.96,1.26,1.38,Matches
1605,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,eng ENG,MFFW,Cardiff City,eng Premier League,26,1992,10.9,26.1,25.5,0.55,0.00,0.09,6.88,0.64,2.39,0.18,0.00,0.00,0.00,15.4,3.85,6.79,3.12,19.4,1.83,0.28,0.09,15.9,0.18,0.64,0.83,2.84,Matches
1606,Stiven Mendoza\Stiven-Mendoza,co COL,FWMF,Amiens,fr Ligue 1,26,1992,20.9,34.2,30.3,3.88,1.58,0.14,7.89,1.53,4.11,1.72,0.05,0.29,0.05,22.8,5.07,6.27,29.6,3.06,0.48,0.48,0.29,24.5,0.14,0.77,0.72,1.53,Matches
1607,Alexandre Mendy\Alexandre-Mendy,fr FRA,FW,Guingamp,fr Ligue 1,24,1994,8.5,14.6,12.1,2.47,0.12,0.00,3.29,0.35,0.35,0.00,0.00,0.00,0.00,10.1,3.29,1.18,0.59,11.6,1.41,0.00,0.47,10.9,0.24,0.35,0.71,0.94,Matches
1608,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,eng Premier League,24,1994,10.0,79.1,69.2,9.90,0.60,0.00,7.30,1.10,5.10,0.00,0.00,0.00,0.00,56.5,13.0,9.60,63.2,3.80,2.10,9.30,0.20,66.8,0.00,0.80,1.20,1.70,Matches
1609,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Reims,fr Ligue 1,26,1992,38.0,29.7,18.2,11.6,4.03,0.03,1.63,1.37,0.00,0.00,0.00,0.00,0.00,10.3,1.53,17.9,1.16,22.2,0.05,0.00,3.24,18.5,0.16,0.97,0.11,0.05,Matches
1610,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Lyon,fr Ligue 1,23,1995,28.1,69.8,60.7,9.11,0.85,0.28,11.4,1.85,2.85,0.00,0.00,0.00,0.00,47.0,13.1,9.61,42.1,16.2,2.28,8.26,0.18,58.4,0.28,1.17,1.53,2.03,Matches
1611,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,eng Premier League,26,1992,23.2,47.7,46.8,0.86,0.13,0.00,7.54,1.16,0.17,0.00,0.00,0.00,0.00,38.4,4.09,5.17,5.26,40.4,1.55,0.04,0.04,41.8,0.13,0.65,0.86,0.73,Matches
1612,Hamza Mendyl\Hamza-Mendyl,ma MAR,DFMF,Schalke 04,de Bundesliga,20,1997,6.0,42.3,34.0,8.33,1.33,0.00,3.83,1.17,3.17,0.00,0.00,0.00,0.00,24.0,9.00,9.33,28.7,4.33,2.17,7.00,0.00,29.7,0.17,1.67,1.00,1.33,Matches
1613,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,eng Premier League,20,1997,9.4,41.6,39.8,1.81,1.28,0.11,7.45,0.21,0.11,0.00,0.00,0.00,0.00,29.4,4.26,7.98,2.13,34.1,3.19,0.53,0.21,34.5,0.11,1.17,0.53,0.32,Matches
1614,Gabriel Mercado\Gabriel-Mercado,ar ARG,DF,Sevilla,es La Liga,31,1987,19.3,39.6,36.9,2.64,1.04,0.00,6.42,1.04,0.26,0.00,0.00,0.00,0.00,26.4,5.08,8.13,5.91,27.9,3.26,1.61,0.21,32.9,0.26,0.93,0.21,0.73,Matches
1615,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,21,1997,12.8,27.7,18.0,9.61,1.72,0.00,2.42,0.47,0.00,0.00,0.00,0.00,0.00,17.3,1.25,9.06,18.0,5.55,0.00,0.00,3.59,20.6,0.08,0.63,0.08,0.00,Matches
1616,Mehdi Merghem\Mehdi-Merghem,fr FRA,FWMF,Guingamp,fr Ligue 1,21,1997,8.0,37.3,36.8,0.50,0.13,0.00,9.13,2.00,3.38,0.00,0.00,0.00,0.00,21.6,6.63,9.00,26.6,7.13,1.88,0.38,0.13,26.3,0.25,1.88,0.50,1.50,Matches
1617,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,es La Liga,22,1996,22.8,48.8,48.1,0.70,0.44,0.18,10.6,1.54,0.66,0.09,0.00,0.09,0.00,34.3,6.97,7.59,40.3,3.86,2.72,0.13,0.26,38.7,0.13,1.05,1.36,0.96,Matches
1618,Sabin Merino\Sabin-Merino,es ESP,FWMF,Leganés,es La Liga,26,1992,3.3,27.0,25.8,1.21,0.30,0.61,6.36,0.00,0.61,0.00,0.00,0.00,0.00,16.4,6.36,4.24,2.73,19.7,1.82,0.00,0.30,20.3,0.00,0.00,0.30,1.82,Matches
1619,Martín Merquelanz\Martin-Merquelanz,es ESP,MF,Real Sociedad,es La Liga,23,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1620,Dries Mertens\Dries-Mertens,be BEL,FW,Napoli,it Serie A,31,1987,25.0,36.2,33.8,2.32,0.08,0.36,6.44,0.92,2.96,1.60,0.24,0.20,0.04,24.5,6.56,5.08,2.68,31.6,1.08,0.40,0.32,27.1,0.20,0.52,0.96,1.20,Matches
1621,Roque Mesa\Roque-Mesa,es ESP,MF,Sevilla,es La Liga,29,1989,19.4,50.2,47.9,2.22,1.49,0.21,11.6,1.96,2.01,0.52,0.10,0.05,0.00,36.4,6.39,7.37,11.2,36.9,1.80,0.15,0.05,42.7,0.15,0.52,0.77,1.29,Matches
1622,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,es La Liga,31,1987,30.1,64.4,59.1,5.35,2.92,1.59,13.4,2.19,2.59,2.03,0.43,0.13,0.03,49.5,4.75,10.1,58.6,4.78,0.56,0.20,0.23,50.6,0.70,0.66,2.19,2.09,Matches
1623,Romain Métanire\Romain-Metanire,mg MAD,DF,Reims,fr Ligue 1,28,1990,3.5,34.9,25.1,9.71,0.29,0.00,5.43,0.86,0.29,0.00,0.00,0.00,0.00,17.1,6.57,11.1,4.57,18.3,2.00,9.43,0.29,23.1,0.29,1.43,1.71,1.43,Matches
1624,Thomas Meunier\Thomas-Meunier,be BEL,DFMF,Paris S-G,fr Ligue 1,26,1991,17.9,55.0,48.9,6.09,0.17,0.11,9.83,1.56,2.91,0.11,0.00,0.00,0.00,37.2,10.9,6.87,6.15,39.4,2.57,5.81,0.17,46.0,0.11,0.95,0.84,0.89,Matches
1625,Mexer\Mexer,mz MOZ,DF,Rennes,fr Ligue 1,29,1988,27.4,45.7,44.4,1.28,1.13,0.00,4.49,2.19,0.00,0.00,0.00,0.00,0.00,36.8,2.81,6.06,5.29,37.8,1.61,0.15,0.11,40.8,0.00,0.73,0.15,0.51,Matches
1626,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,eng Premier League,22,1995,15.7,44.4,42.8,1.59,0.13,0.06,7.39,0.51,1.59,1.27,0.00,0.00,0.00,36.0,4.08,4.33,13.8,28.7,1.59,0.19,0.00,36.1,0.45,0.70,1.53,1.21,Matches
1627,Matt Miazga\Matt-Miazga,us USA,DF,Nantes,fr Ligue 1,23,1995,8.0,53.8,51.6,2.13,2.00,0.00,5.75,1.50,0.13,0.13,0.00,0.00,0.00,36.6,4.75,12.4,7.25,36.8,7.25,0.00,0.13,43.1,0.00,1.63,0.50,0.38,Matches
1628,Míchel\Michel,es ESP,MF,Valladolid,es La Liga,30,1988,28.4,61.0,53.5,7.43,3.84,0.07,7.82,4.12,4.79,3.45,0.35,0.35,0.04,41.1,6.80,13.1,6.55,51.7,1.97,0.07,0.14,49.4,0.25,0.85,1.20,1.23,Matches
1629,Clément Michelin\Clement-Michelin,fr FRA,DF,Toulouse,fr Ligue 1,21,1997,1.0,44.0,33.0,11.0,1.00,0.00,6.00,2.00,1.00,0.00,0.00,0.00,0.00,17.0,4.00,23.0,1.00,26.0,5.00,10.0,0.00,27.0,1.00,2.00,1.00,2.00,Matches
1630,Petar Mićin\Petar-Micin,rs SRB,MF,Udinese,it Serie A,19,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1631,Miguel\Miguel,es ESP,MF,Valladolid,es La Liga,18,1999,0.1,70.0,70.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,30.0,20.0,10.0,30.0,10.0,0.00,10.0,50.0,0.00,10.0,0.00,0.00,Matches
1632,Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,21,1996,12.4,40.2,33.0,7.26,1.29,0.00,4.27,0.65,0.81,0.00,0.00,0.00,0.00,22.5,7.18,10.6,28.1,3.06,2.34,5.97,0.00,30.7,0.16,0.81,0.40,1.13,Matches
1633,Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,20,1997,33.4,54.5,48.3,6.23,1.35,0.06,6.59,1.26,0.63,0.00,0.00,0.00,0.00,34.3,7.16,13.1,4.58,38.6,4.88,4.88,0.06,43.8,0.06,1.74,0.63,1.05,Matches
1634,Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Napoli,it Serie A,24,1994,26.6,22.8,21.8,1.05,0.15,0.15,5.11,0.30,0.19,0.00,0.00,0.00,0.00,16.7,3.76,2.33,17.6,3.23,1.02,0.11,0.23,18.9,0.23,0.11,0.30,0.56,Matches
1635,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,it Serie A,23,1995,26.6,55.4,54.3,1.13,0.45,0.26,11.7,1.39,1.28,0.04,0.00,0.00,0.00,37.4,9.36,8.68,7.33,42.1,2.71,0.60,0.56,43.2,0.38,0.90,1.35,1.65,Matches
1636,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,SPAL,it Serie A,21,1997,1.8,41.1,29.4,11.7,0.56,0.00,5.00,1.11,0.00,0.00,0.00,0.00,0.00,20.6,1.67,18.9,3.89,25.6,0.00,0.00,9.44,26.1,0.00,2.78,0.00,0.00,Matches
1637,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,eng Premier League,27,1991,38.0,56.3,49.6,6.71,2.82,0.11,7.61,3.66,4.82,3.58,0.39,0.47,0.21,35.6,6.47,14.3,7.32,44.3,3.18,0.24,0.39,42.9,0.24,1.13,1.26,1.13,Matches
1638,Pere Milla\Pere-Milla,es ESP,FWMF,Eibar,es La Liga,25,1992,3.8,33.4,30.3,3.16,0.53,0.00,5.79,1.32,4.21,2.11,0.00,0.00,0.00,18.9,5.00,9.47,23.4,4.74,3.16,0.53,0.26,19.5,0.79,0.53,1.32,2.89,Matches
1639,Vincenzo Millico\Vincenzo-Millico,it ITA,MF,Torino,it Serie A,17,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1640,James Milner\James-Milner,eng ENG,MFDF,Liverpool,eng Premier League,32,1986,19.9,81.1,69.3,11.8,2.06,0.35,11.8,3.62,6.68,4.52,0.15,0.20,0.15,54.7,9.35,17.0,6.53,67.4,2.01,4.52,0.20,65.3,0.40,1.36,1.46,2.81,Matches
1641,Santi Mina\Santi-Mina,es ESP,FW,Valencia,es La Liga,22,1995,20.6,23.2,22.1,1.02,0.19,0.05,5.44,0.63,0.44,0.00,0.00,0.00,0.00,14.9,4.51,3.74,2.09,17.6,2.23,0.05,0.19,17.0,0.19,0.39,0.68,0.92,Matches
1642,Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,23,1994,9.9,49.3,47.5,1.82,1.62,0.00,9.90,1.31,0.00,0.00,0.00,0.00,0.00,35.9,4.24,9.19,6.97,37.0,3.43,0.20,0.10,41.7,0.20,0.61,0.40,0.51,Matches
1643,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,eng Premier League,25,1993,1.6,56.9,51.9,5.00,0.63,0.00,11.3,0.00,0.63,0.00,0.00,0.00,0.00,42.5,5.63,8.75,43.8,4.38,3.13,4.38,0.00,46.3,0.00,0.63,1.88,1.25,Matches
1644,Ignasi Miquel\Ignasi-Miquel,es ESP,DF,Getafe,es La Liga,25,1992,3.5,25.1,23.7,1.43,1.43,0.00,5.14,0.29,0.29,0.00,0.00,0.00,0.00,8.00,2.86,14.3,16.6,4.29,3.14,0.00,0.00,14.6,0.00,1.43,0.00,0.29,Matches
1645,Kevin Mirallas\Kevin-Mirallas,be BEL,FWMF,Fiorentina,it Serie A,30,1987,14.4,30.6,26.5,4.17,0.63,0.00,4.10,1.67,4.38,2.15,0.00,0.14,0.07,19.7,4.24,6.74,2.71,24.7,1.53,1.11,0.14,21.8,0.07,0.42,0.90,1.39,Matches
1646,Jorge Miramón\Jorge-Miramon,es ESP,DF,Huesca,es La Liga,29,1989,27.7,49.0,38.9,10.1,0.29,0.11,6.90,1.55,2.92,0.07,0.00,0.00,0.00,24.0,11.4,13.6,2.71,34.3,1.62,9.75,0.07,35.8,0.18,1.23,1.12,1.55,Matches
1647,Miranda\Miranda,br BRA,DF,Inter,it Serie A,33,1984,12.9,63.6,61.3,2.33,2.25,0.00,6.59,3.26,0.00,0.00,0.00,0.00,0.00,49.5,4.88,9.30,7.83,51.4,3.10,0.08,0.39,56.7,0.00,1.78,0.47,0.31,Matches
1648,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,35,1983,11.0,29.5,18.0,11.5,3.00,0.00,1.64,0.45,0.00,0.00,0.00,0.00,0.00,10.8,2.18,16.5,0.64,23.5,0.00,0.00,3.73,20.0,0.09,0.27,0.18,0.00,Matches
